Pa�s|Plataforma|Total_Audiovisual|
United States of America|Netflix|3689|
India|Netflix|1046|
United Kingdom|Netflix|804|
Canada|Netflix|445|
France|Netflix|393|
Japan|Netflix|318|
Spain|Netflix|232|
South Korea|Netflix|231|
Germany|Netflix|226|
Mexico|Netflix|169|
China|Netflix|162|
Australia|Netflix|160|
Egypt|Netflix|117|
Turkey|Netflix|113|
Hong Kong|Netflix|105|
Nigeria|Netflix|103|
Italy|Netflix|100|
Brazil|Netflix|97|
Argentina|Netflix|91|
Belgium|Netflix|90|
Indonesia|Netflix|90|
Taiwan|Netflix|89|
Philippines|Netflix|83|
Thailand|Netflix|70|
South Africa|Netflix|62|
Colombia|Netflix|52|
Netherlands|Netflix|50|
Denmark|Netflix|48|
Ireland|Netflix|46|
Sweden|Netflix|42|
Singapore|Netflix|41|
Poland|Netflix|40|
United Arab Emirates|Netflix|37|
New Zealand|Netflix|33|
Lebanon|Netflix|31|
Israel|Netflix|30|
Norway|Netflix|30|
Chile|Netflix|29|
Russia|Netflix|27|
Malaysia|Netflix|26|
Pakistan|Netflix|24|
Czech Republic|Netflix|22|
Switzerland|Netflix|19|
Romania|Netflix|14|
Uruguay|Netflix|14|
Saudi Arabia|Netflix|13|
Austria|Netflix|12|
Luxembourg|Netflix|12|
Iceland|Netflix|11|
Finland|Netflix|11|
Hungary|Netflix|11|
Greece|Netflix|11|
Peru|Netflix|10|
Bulgaria|Netflix|10|
Qatar|Netflix|9|
Jordan|Netflix|9|
Kuwait|Netflix|8|
Vietnam|Netflix|7|
Serbia|Netflix|7|
Kenya|Netflix|6|
Portugal|Netflix|6|
Morocco|Netflix|6|
Cambodia|Netflix|5|
Ghana|Netflix|5|
West Germany|Netflix|5|
Iran|Netflix|4|
Venezuela|Netflix|4|
Bangladesh|Netflix|4|
Croatia|Netflix|4|
Ukraine|Netflix|3|
Slovenia|Netflix|3|
Senegal|Netflix|3|
Malta|Netflix|3|
Soviet Union|Netflix|3|
Syria|Netflix|3|
Zimbabwe|Netflix|3|
Algeria|Netflix|3|
Namibia|Netflix|2|
United Kingdom||Netflix|2
Nepal|Netflix|2|
Mauritius|Netflix|2|
Guatemala|Netflix|2|
Cayman Islands|Netflix|2|
Georgia|Netflix|2|
Iraq|Netflix|2|
Azerbaijan|Netflix|1|
Poland||Netflix|1
Latvia|Netflix|1|
Belarus|Netflix|1|
Cuba|Netflix|1|
Vatican City|Netflix|1|
Ecuador|Netflix|1|
Kazakhstan|Netflix|1|
Mongolia|Netflix|1|
Puerto Rico|Netflix|1|
Palestine|Netflix|1|
Uganda|Netflix|1|
Dominican Republic|Netflix|1|
Montenegro|Netflix|1|
Burkina Faso|Netflix|1|
Jamaica|Netflix|1|
Bermuda|Netflix|1|
Sudan|Netflix|1|
Lithuania|Netflix|1|
Sri Lanka|Netflix|1|
Samoa|Netflix|1|
Afghanistan|Netflix|1|
Panama|Netflix|1|
Malawi|Netflix|1|
Cameroon|Netflix|1|
Liechtenstein|Netflix|1|
Nicaragua|Netflix|1|
Cambodia||Netflix|1
Angola|Netflix|1|
Albania|Netflix|1|
Slovakia|Netflix|1|
United States||Netflix|1
Cyprus|Netflix|1|
Armenia|Netflix|1|
Mozambique|Netflix|1|
Paraguay|Netflix|1|
Bahamas|Netflix|1|
Somalia|Netflix|1|
Botswana|Netflix|1|
Ethiopia|Netflix|1|
East Germany|Netflix|1|
